Time(day),Pro(m3/day)
1.00E-06,3.80E+09
3.50E-06,3.28E+09
1.10E-05,2.64E+09
3.35E-05,1.87E+09
0.000101,1.03E+09
0.00025,4.46E+08
0.000542,1.64E+08
0.001109,5.67E+07
0.002209,2.30E+07
0.004339,1.48E+07
0.008339,1.34E+07
0.017679,1.32E+07
0.040079,1.29E+07
0.071679,1.26E+07
0.11998,1.22E+07
0.19988,1.15E+07
0.34288,1.05E+07
0.61288,9.05E+06
0.99988,7.61E+06
1.4539,6.42E+06
2.4179,4.95E+06
4.0879,3.68E+06
7.3379,2.65E+06
9.9979,2.18E+06
15.118,1.74E+06
19.998,1.48E+06
30.998,1.18E+06
40.998,1.02E+06
50.998,9.07E+05
59.998,8.31E+05
70.598,7.63E+05
74.018,7.43E+05
91.018,6.70E+05
105.02,6.24E+05
121.02,5.81E+05
147.42,5.29E+05
151.97,5.20E+05
181.97,4.78E+05
212.97,4.44E+05
243.97,4.16E+05
273.97,3.94E+05
304.97,3.74E+05
334.97,3.58E+05
365.97,3.44E+05
432.07,3.19E+05
597.07,2.79E+05
731.07,2.56E+05
1096.1,2.18E+05
1461.1,1.94E+05
1827.1,1.77E+05
2192.1,1.64E+05
2557.1,1.54E+05
2922.1,1.46E+05
3288.1,1.39E+05
3653.1,1.34E+05
4018.1,1.29E+05
4383.1,1.25E+05
4749.1,1.21E+05
5114.1,1.18E+05
5479.1,1.15E+05
5844.1,1.13E+05
6210.1,1.10E+05
6575.1,1.08E+05
6940.1,1.06E+05
7305.1,1.04E+05
7671.1,1.03E+05
8036.1,1.01E+05
8401.1,99642
8766.1,98265
9132.1,96968
9497.1,95750
9862.1,94601
10227,93513
10593,92478
10958,91496
