,
1e-06,3.8417e+09
3.5e-06,3.3247e+09
1.1e-05,2.7243e+09
3.35e-05,2.0438e+09
0.000101,1.304e+09
0.00025,7.4927e+08
0.000542,4.2126e+08
0.001109,2.4659e+08
0.002209,1.5503e+08
0.004339,1.0369e+08
0.008339,7.2389e+07
0.017679,4.9329e+07
0.040079,3.2825e+07
0.071679,2.4076e+07
0.11998,1.8345e+07
0.19988,1.4106e+07
0.34288,1.0754e+07
0.61288,8.068e+06
0.99988,6.2824e+06
1.4539,5.1575e+06
2.4179,4.0154e+06
4.0879,3.1017e+06
7.3379,2.3356e+06
9.9979,1.976e+06
15.118,1.6065e+06
19.998,1.3879e+06
30.998,1.1253e+06
40.998,9.7609e+05
50.998,8.7285e+05
59.998,8.0268e+05
70.598,7.3945e+05
74.018,7.2096e+05
91.018,6.5294e+05
105.02,6.087e+05
121.02,5.6832e+05
147.42,5.1851e+05
151.97,5.105e+05
181.97,4.6968e+05
212.97,4.3659e+05
243.97,4.0985e+05
273.97,3.883e+05
304.97,3.6949e+05
334.97,3.5381e+05
365.97,3.3971e+05
432.07,3.1596e+05
597.07,2.7705e+05
731.07,2.5395e+05
1096.1,2.1674e+05
1461.1,1.927e+05
1827.1,1.7577e+05
2192.1,1.6317e+05
2557.1,1.5336e+05
2922.1,1.4546e+05
3288.1,1.3893e+05
3653.1,1.3343e+05
4018.1,1.2872e+05
4383.1,1.2462e+05
4749.1,1.2101e+05
5114.1,1.1781e+05
5479.1,1.1494e+05
5844.1,1.1236e+05
6210.1,1.1e+05
6575.1,1.0786e+05
6940.1,1.0589e+05
7305.1,1.0407e+05
7671.1,1.0238e+05
8036.1,1.0081e+05
8401.1,99352
8766.1,97978
9132.1,96692
9497.1,95477
9862.1,94332
10227,93249
10593,92218
10958,91241
