Timestep(day)
1.00E-06
2.50E-06
7.50E-06
2.25E-05
6.75E-05
0.0002025
0.000569463
0.001140069
0.001869807
0.003438026
0.006647161
0.012274754
0.020806098
0.040419776
0.101049453
0.252623618
0.376092136
0.18276614
0.573164105
1.114382148
1.857303143
3.550024032
1.905126572
5.4701767
4.5298233
11
10
10
9
11.14668274
2.85331726
17
14
16
27.8666992
3.1333008
30
31
31
30
31
30
31
31
28
31
30
31
30
31
31
30
31
30
31
31
28
31
30
31
30
31
31
30
31
30
31
31
28
31
30
31
30
31
31
30
31
30
31
46.444458
44.555542
91
92
92
90
91
92
92
90
91
92
92
90
91
92
92
91
91
92
92
90
91
92
92
90
90
90
90
5
90
90
90
90
5
90
90
90
90
6
90
90
90
90
5
90
90
90
90
5
90
90
90
90
5
90
90
90
90
6
90
90
90
90
5
90
90
90
90
5
90
90
90
90
5
90
90
90
90
6
90
90
90
90
5
90
90
90
90
5
90
90
90
90
5
90
90
90
90
6
90
90
90
90
5
90
90
90
90
5
90
90
90
90
5
90
90
90
90
6
90
90
90
90
5
