FILE:,CMG_Desorption10000mdft.irf,,
Well:,Well-1,,
,,,
,,,Y1
,TIME,DATE,Gas Rate SC
,(day),,(ft3/day)
,1.00E-06,36526,3804962560
,1.99E-06,36526,3524421888
,4.47E-06,36526,3152894464
,9.57E-06,36526,2751799808
,1.88E-05,36526,2356715520
,3.44E-05,36526,1974367744
,6.08E-05,36526,1591481472
,9.72E-05,36526,1262152192
,0.000150791,36526,971999872
,0.000234398,36526,721023232
,0.000368889,36526,517726880
,0.00058822,36526,365939008
,0.000952628,36526,259379296
,0.001559974,36526,187192992
,0.002572217,36526,138154736
,0.00425929,36526,103837024
,0.007071077,36526,78974752
,0.011757389,36526,60487604
,0.019567909,36526,46519480
,0.032585442,36526,35867184
,0.054281328,36526,27698296
,0.090441138,36526,21412136
,0.150707483,36526,16564077
,0.251151413,36526,12819763
,0.418557912,36526,9925219
,0.697568774,36526,7686268
,1,36527,6255070.5
,1.465018034,36527,5169646
,2.24004817,36528,4210345
,3.531764984,36529,3374016
,5.684626579,36531,2674150.25
,9.27272892,36535,2104562.75
,10,36536,1903372.375
,15.98017025,36541,1597386.125
,20,36546,1380489.25
,29.96694946,36555,1160080.5
,31,36557,1086345.875
,41,36567,974584.1875
,51,36577,869556.25
,60,36586,795219.5
,74,36600,723313.9375
,91,36617,655389.375
,105,36631,606267.6875
,121,36647,566165.375
,137.6115875,36663,531846.1875
,152,36678,505310.125
,179.6859741,36705,471980.3438
,182,36708,461375.2188
,213,36739,435679.3438
,244,36770,408630.6875
,274,36800,386295.9063
,305,36831,367403.5313
,335,36861,351488.4063
,366,36892,337472.6875
,412.14328,36938,321406.5
,489.0487671,37015,300450.7813
,617.2245483,37143,274252.25
,731,37257,253122.5469
,944.6262817,37470,229855.6406
,1096,37622,213325.4688
,1461,37987,193104.875
,1827,38353,175522
,2192,38718,162474.9375
,2557,39083,152546.9844
,2922,39448,144626.8438
,3288,39814,138101.6406
,3653,40179,132621.3594
,4018,40544,127934.5859
,4383,40909,123866.2422
,4749,41275,120285.0938
,5114,41640,117109.875
,5479,42005,114268.5859
,5844,42370,111705.2734
,6210,42736,109372.9453
,6575,43101,107244.6719
,6940,43466,105291.3906
,7305,43831,103489.2656
,7671,44197,101816.3281
,8036,44562,100262.0469
,8401,44927,98812.02344
,8766,45292,97454.17188
,9132,45658,96176.36719
,9497,46023,94974.23438
,9862,46388,93839.71875
,10227,46753,92765.86719
,10593,47119,91745.16406
,10958,47484,90775.92188
