,
1e-06,66095
3.5e-06,65784
1.1e-05,65715
3.35e-05,65562
0.000101,65182
0.00025,64470
0.000542,63519
0.001109,62334
0.002209,60924
0.004339,59302
0.008339,57517
0.017679,55251
0.040079,52498
0.071679,50248
0.11998,48132
0.19988,45971
0.34288,43598
0.61288,40960
0.99988,38578
1.4539,36644
2.4179,34043
4.0879,31224
7.3379,27962
9.9979,26045
15.118,23588
19.998,21860
30.998,19355
40.998,17717
50.998,16465
59.998,15551
70.598,14675
74.018,14413
91.018,13391
105.02,12695
121.02,12035
147.42,11184
151.97,11046
181.97,10316
212.97,9705.7
243.97,9200.1
273.97,8785.1
304.97,8416.5
334.97,8104.7
365.97,7821.3
432.07,7335.2
597.07,6518.6
731.07,6024.1
1096.1,5210.3
1461.1,4675.2
1827.1,4293.8
2192.1,4007.7
2557.1,3783.6
2922.1,3602.3
3288.1,3451.6
3653.1,3324.6
4018.1,3215.4
4383.1,3120.2
4749.1,3036.1
5114.1,2961.5
5479.1,2894.3
5844.1,2833.8
6210.1,2778.6
6575.1,2728.3
6940.1,2681.9
7305.1,2639.1
7671.1,2599.2
8036.1,2562.2
8401.1,2527.6
8766.1,2495.2
9132.1,2464.7
9497.1,2435.8
9862.1,2408.6
10227,2382.8
10593,2358.3
10958,2334.9
