,
1e-06,3.8416e+09
3.5e-06,3.3247e+09
1.1e-05,2.7242e+09
3.35e-05,2.0438e+09
0.000101,1.304e+09
0.00025,7.4933e+08
0.000542,4.2144e+08
0.001109,2.4681e+08
0.002209,1.5522e+08
0.004339,1.0384e+08
0.008339,7.2502e+07
0.017679,4.9407e+07
0.040079,3.2878e+07
0.071679,2.4115e+07
0.11998,1.8375e+07
0.19988,1.4129e+07
0.34288,1.0772e+07
0.61288,8.0814e+06
0.99988,6.293e+06
1.4539,5.166e+06
2.4179,4.0221e+06
4.0879,3.1068e+06
7.3379,2.3395e+06
9.9979,1.9793e+06
15.118,1.6091e+06
19.998,1.3902e+06
30.998,1.1272e+06
40.998,9.7772e+05
50.998,8.7431e+05
59.998,8.0401e+05
70.598,7.4066e+05
74.018,7.2215e+05
91.018,6.5402e+05
105.02,6.097e+05
121.02,5.6926e+05
147.42,5.1936e+05
151.97,5.1135e+05
181.97,4.7045e+05
212.97,4.3731e+05
243.97,4.1051e+05
273.97,3.8893e+05
304.97,3.7009e+05
334.97,3.5438e+05
365.97,3.4026e+05
432.07,3.1647e+05
597.07,2.775e+05
731.07,2.5435e+05
1096.1,2.1709e+05
1461.1,1.9301e+05
1827.1,1.7606e+05
2192.1,1.6345e+05
2557.1,1.5362e+05
2922.1,1.4571e+05
3288.1,1.3917e+05
3653.1,1.3366e+05
4018.1,1.2894e+05
4383.1,1.2484e+05
4749.1,1.2122e+05
5114.1,1.1802e+05
5479.1,1.1515e+05
5844.1,1.1256e+05
6210.1,1.102e+05
6575.1,1.0805e+05
6940.1,1.0607e+05
7305.1,1.0425e+05
7671.1,1.0256e+05
8036.1,1.0099e+05
8401.1,99519
8766.1,98146
9132.1,96856
9497.1,95638
9862.1,94491
10227,93405
10593,92372
10958,91393
