arc_length,Pressure
ft,psi
0,4952.757624
2.800200296,4952.757624
5.600465879,4952.757624
8.400698819,4952.757624
11.20093176,4952.757624
14.0011647,4952.757624
16.80139764,4952.467548
19.60163057,4952.467548
22.40186352,4952.467548
25.20177001,4952.467548
28.00200296,4952.467548
30.8022359,4952.032434
33.60410105,4952.032434
36.40172244,4952.032434
39.20260827,4952.032434
42.0034941,4952.032434
44.80437992,4951.452282
47.60200131,4951.452282
50.40288714,4951.452282
53.20377297,4951.452282
56.00465879,4951.452282
58.80554462,4950.582054
61.60316601,4950.582054
64.40405184,4950.582054
67.20493767,4950.582054
70.00582349,4950.582054
72.80670932,4950.001902
75.60433071,4949.566788
78.40521654,4949.566788
81.20610236,4949.566788
84.00698819,4949.566788
86.80787402,4948.69656
89.60549541,4948.261446
92.40638124,4948.261446
95.20726706,4948.261446
98.00815289,4948.261446
100.8090387,4947.24618
103.6066601,4946.666028
106.4075459,4946.666028
109.2084317,4946.666028
112.0093176,4946.666028
114.8102034,4945.650762
117.6078248,4944.925572
120.4087106,4944.925572
123.2095965,4944.925572
126.0104823,4944.925572
128.8113681,4943.765268
131.6089895,4943.765268
134.4098753,4943.040078
137.2107612,4943.040078
140.011647,4943.040078
142.8092684,4941.589698
145.6101542,4941.589698
148.41104,4940.71947
151.2119259,4940.71947
154.0128117,4940.71947
156.8104331,4939.26909
159.6113189,4939.26909
162.4122048,4938.398862
165.2130906,4938.398862
168.0139764,4938.398862
170.8115978,4936.658406
173.6124836,4936.658406
176.4133695,4935.64314
179.2142553,4935.64314
182.0151411,4935.64314
184.8127625,4933.757646
187.6136482,4933.757646
190.4145341,4932.597342
193.2154199,4932.597342
196.0163057,4932.597342
198.8139271,4932.597342
201.614813,4930.711848
204.4156988,4930.711848
207.2165846,4929.406506
210.0174704,4929.406506
212.8150918,4929.406506
215.6159777,4927.230936
218.4168635,4927.230936
221.2177493,4925.925594
224.0186352,4925.925594
226.8162565,4925.925594
229.6171424,4923.604986
232.4180282,4923.604986
235.218914,4922.009568
238.0165354,4922.009568
240.8174213,4922.009568
243.6183071,4919.543922
246.4191929,4919.543922
249.2200787,4917.948504
252.0177001,4917.948504
254.818586,4917.948504
257.6194718,4915.192782
260.4203576,4915.192782
263.2212435,4915.192782
266.0188648,4913.452326
268.8197507,4913.452326
271.6206365,4910.551566
274.4215223,4910.551566
277.2224082,4910.551566
