P(psi),Z-factor(-),viscosity(cp)
2582.379599,0.92036791,0.017093329
2599.052843,0.920523337,0.017137297
2615.726087,0.920685838,0.017181447
2632.399331,0.920855371,0.017225777
2649.072575,0.921031893,0.017270284
2665.745819,0.921215364,0.017314968
2682.419064,0.921405739,0.017359825
2699.092308,0.921602979,0.017404855
2715.765552,0.921807039,0.017450054
2732.438796,0.922017878,0.017495422
2749.11204,0.922235453,0.017540955
2765.785284,0.922459723,0.017586653
2782.458528,0.922690645,0.017632512
2799.131773,0.922928176,0.017678532
2815.805017,0.923172274,0.01772471
2832.478261,0.923422898,0.017771044
2849.151505,0.923680004,0.017817531
2865.824749,0.923943552,0.017864171
2882.497993,0.924213497,0.01791096
2899.171237,0.9244898,0.017957898
2915.844482,0.924772416,0.018004981
2932.517726,0.925061305,0.018052208
2949.19097,0.925356425,0.018099577
2965.864214,0.925657733,0.018147086
2982.537458,0.925965188,0.018194733
2999.210702,0.926278749,0.018242515
3015.883946,0.926598373,0.01829043
3032.557191,0.926924019,0.018338478
3049.230435,0.927255645,0.018386655
3065.903679,0.927593211,0.01843496
3082.576923,0.927936675,0.01848339
3099.250167,0.928285996,0.018531944
3115.923411,0.928641133,0.018580619
3132.596656,0.929002045,0.018629414
3149.2699,0.929368692,0.018678326
3165.943144,0.929741032,0.018727354
3182.616388,0.930119026,0.018776495
3199.289632,0.930502632,0.018825748
3215.962876,0.930891811,0.01887511
3232.63612,0.931286523,0.01892458
3249.309365,0.931686727,0.018974156
3265.982609,0.932092384,0.019023835
3282.655853,0.932503454,0.019073616
3299.329097,0.932919898,0.019123497
3316.002341,0.933341677,0.019173475
3332.675585,0.93376875,0.019223549
3349.348829,0.93420108,0.019273717
3366.022074,0.934638627,0.019323978
3382.695318,0.935081353,0.019374328
3399.368562,0.935529219,0.019424767
3416.041806,0.935982187,0.019475292
3432.71505,0.936440219,0.019525902
3449.388294,0.936903277,0.019576594
3466.061538,0.937371323,0.019627367
3482.734783,0.937844319,0.019678219
3499.408027,0.938322228,0.019729148
3516.081271,0.938805013,0.019780153
3532.754515,0.939292636,0.019831231
3549.427759,0.939785062,0.019882381
3566.101003,0.940282253,0.0199336
3582.774247,0.940784173,0.019984889
3599.447492,0.941290785,0.020036243
3616.120736,0.941802054,0.020087662
3632.79398,0.942317943,0.020139145
3649.467224,0.942838417,0.020190688
3666.140468,0.943363441,0.020242291
3682.813712,0.943892979,0.020293953
3699.486957,0.944426997,0.02034567
3716.160201,0.944965458,0.020397442
3732.833445,0.945508329,0.020449267
3749.506689,0.946055576,0.020501144
3766.179933,0.946607164,0.02055307
3782.853177,0.947163058,0.020605044
3799.526421,0.947723226,0.020657065
3816.199666,0.948287633,0.020709131
3832.87291,0.948856246,0.020761241
3849.546154,0.949429033,0.020813392
3866.219398,0.950005959,0.020865584
3882.892642,0.950586993,0.020917815
3899.565886,0.951172101,0.020970083
3916.23913,0.951761251,0.021022387
3932.912375,0.952354412,0.021074726
3949.585619,0.952951551,0.021127097
3966.258863,0.953552636,0.021179501
3982.932107,0.954157637,0.021231934
3999.605351,0.954766521,0.021284397
4016.278595,0.955379258,0.021336887
4032.951839,0.955995817,0.021389403
4049.625084,0.956616167,0.021441944
4066.298328,0.957240278,0.021494508
4082.971572,0.957868119,0.021547094
4099.644816,0.958499661,0.021599701
4116.31806,0.959134873,0.021652328
4132.991304,0.959773727,0.021704973
4149.664548,0.960416192,0.021757635
4166.337793,0.96106224,0.021810313
4183.011037,0.961711841,0.021863005
4199.684281,0.962364967,0.021915711
4216.357525,0.96302159,0.021968429
4233.030769,0.96368168,0.022021158
4249.704013,0.96434521,0.022073897
4266.377258,0.965012152,0.022126644
4283.050502,0.965682478,0.022179399
4299.723746,0.966356161,0.022232161
4316.39699,0.967033173,0.022284928
4333.070234,0.967713488,0.022337699
4349.743478,0.968397077,0.022390474
4366.416722,0.969083916,0.02244325
4383.089967,0.969773976,0.022496028
4399.763211,0.970467232,0.022548806
4416.436455,0.971163658,0.022601584
4433.109699,0.971863228,0.022654359
4449.782943,0.972565916,0.022707132
4466.456187,0.973271697,0.022759901
4483.129431,0.973980545,0.022812665
4499.802676,0.974692435,0.022865424
4516.47592,0.975407343,0.022918176
4533.149164,0.976125243,0.02297092
4549.822408,0.976846112,0.023023657
4566.495652,0.977569924,0.023076384
4583.168896,0.978296656,0.023129101
4599.84214,0.979026283,0.023181808
4616.515385,0.979758783,0.023234503
4633.188629,0.980494131,0.023287185
4649.861873,0.981232304,0.023339854
4666.535117,0.981973278,0.023392509
4683.208361,0.982717032,0.023445149
4699.881605,0.983463542,0.023497774
4716.554849,0.984212785,0.023550382
4733.228094,0.984964738,0.023602973
4749.901338,0.985719381,0.023655547
4766.574582,0.98647669,0.023708102
4783.247826,0.987236644,0.023760638
4799.92107,0.98799922,0.023813155
4816.594314,0.988764398,0.023865651
4833.267559,0.989532156,0.023918125
4849.940803,0.990302472,0.023970579
4866.614047,0.991075327,0.024023009
4883.287291,0.991850698,0.024075417
4899.960535,0.992628565,0.024127802
4916.633779,0.993408908,0.024180162
4933.307023,0.994191706,0.024232498
4949.980268,0.994976939,0.024284808
4966.653512,0.995764588,0.024337093
4983.326756,0.996554631,0.024389351
5000,0.99734705,0.024441582
