FILE:,CMG_base5mdft.irf,,
Well:,Well-1,,
,,,
,,,Y1
,TIME,DATE,Gas Rate SC
,(day),,(ft3/day)
,1.00E-06,36526,2283183
,3.50E-06,36526,2278968.25
,1.10E-05,36526,2267697.75
,3.35E-05,36526,2241972.25
,0.000101,36526,2195350.75
,0.0003035,36526,2124701.25
,0.000911,36526,2027987.5
,0.0027335,36526,1918237.625
,0.008201,36526,1827753
,0.024603499,36526,1756589.125
,0.073811002,36526,1660565.375
,0.181555465,36526,1546313.375
,0.405165643,36526,1432649.5
,0.951639414,36526,1310432.25
,1,36527,1298021.375
,2.100008249,36528,1183011.875
,4.161277771,36530,1065245.75
,8.400589943,36534,941539.0625
,10,36536,900207.3125
,18.43808937,36544,793994
,20,36546,769734.75
,31,36557,691679
,41,36567,635036.9375
,51,36577,591817.75
,60,36586,559789.125
,74,36600,522925.0313
,90.01341248,36616,488684.1875
,91,36617,483061.75
,105,36631,461150.9375
,121,36647,438056.3438
,152,36678,405369.8125
,182,36708,378239.4688
,213,36739,355740.3438
,244,36770,337045.4688
,274,36800,321627
,305,36831,308098.5313
,335,36861,296544.4688
,366,36892,286145.5625
,406.0335388,36932,274910.25
,506.1174011,37032,254855.7344
,731,37257,224855.6563
,981.2096558,37507,200104.1406
,1096,37622,188576.0156
,1461,37987,171436.1563
,1827,38353,156874.1563
,2192,38718,145905.7188
,2557,39083,137411.3281
,2922,39448,130589.4297
,3288,39814,124948.8359
,3653,40179,120200.7344
,4018,40544,116131.7344
,4383,40909,112593.6406
,4749,41275,109474.9141
,5114,41640,106707.4531
,5479,42005,104228.3281
,5844,42370,101989.6953
,6210,42736,99950.89063
,6575,43101,98089.46094
,6940,43466,96379.57813
,7305,43831,94800.75781
,7671,44197,93333.8125
,8036,44562,91970.125
,8401,44927,90696.80469
,8766,45292,89503.39063
,9132,45658,88379.22656
,9497,46023,87320.90625
,9862,46388,86321.08594
,10227,46753,85373.75781
,10593,47119,84472.29688
,10958,47484,83615.53906
