Time(day),Surface Gas Rate(ft3/day),Reservoir Gas Rate(ft3/day)
9677,91324.71875,2511.067627
9767,91064.20313,2504.753174
9857,90807.13281,2498.518799
9862,90749.49219,2497.120361
9952,90537.03906,2491.9646
10042,90289.17188,2485.946045
10132,90042.03906,2479.94165
10222,89798.03125,2474.010254
10227,89743.46875,2472.68335
10317,89541.53125,2467.770996
10407,89305.97656,2462.03833
10497,89071.00781,2456.31665
10587,88838.89063,2450.661377
10593,88782.22656,2449.280029
10683,88591.91406,2444.640381
10773,88367.89844,2439.17627
10863,88144.07031,2433.713867
10953,87922.83594,2428.312012
10958,87873.60156,2427.109619
