Distance,Pressure
ft,psi
1400.295044,649.8110352
1407.142456,649.8110352
1407.142456,651.9822998
1407.142456,824.2243652
1421.284668,824.2243652
1421.284668,1014.407593
1435.426758,1014.407593
1435.426758,1178.904663
1449.568848,1178.904663
1449.568848,1326.454346
1463.71106,1326.454346
1463.71106,1461.946655
1477.853149,1461.946655
1477.853149,1588.432007
1491.995361,1588.432007
1491.995361,1707.955444
1506.137451,1707.955444
1506.137451,1821.958984
1520.279541,1821.958984
1520.279541,1931.495117
1534.421753,1931.495117
1534.421753,2037.349487
1548.563843,2037.349487
1548.563843,2140.115234
1562.705933,2140.115234
1562.705933,2240.240234
1576.848145,2240.240234
1576.848145,2338.058594
1590.990234,2338.058594
1590.990234,2433.812256
1605.132446,2433.812256
1605.132446,2527.666992
1619.274536,2527.666992
1619.274536,2619.725586
1633.416626,2619.725586
1633.416626,2710.03833
1647.558838,2710.03833
1647.558838,2798.613525
1661.700928,2798.613525
1661.700928,2885.425781
1675.843018,2885.425781
1675.843018,2970.425781
1689.985229,2970.425781
1689.985229,3053.547852
1704.127319,3053.547852
1704.127319,3134.717773
1718.269531,3134.717773
1718.269531,3213.858887
1732.411621,3213.858887
1732.411621,3290.898193
1746.553711,3290.898193
1746.553711,3365.770752
1760.695923,3365.770752
1760.695923,3438.420898
1774.838013,3438.420898
1774.838013,3508.806396
1788.980103,3508.806396
1788.980103,3576.897705
1803.122314,3576.897705
1803.122314,3642.678467
1817.264404,3642.678467
1817.264404,3706.144775
1831.406616,3706.144775
1831.406616,3767.304932
1845.548706,3767.304932
1845.548706,3826.177246
1859.690796,3826.177246
1859.690796,3882.788818
1873.833008,3882.788818
1873.833008,3937.175293
1887.975098,3937.175293
1887.975098,3989.37793
1902.117188,3989.37793
1902.117188,4039.443604
1916.259399,4039.443604
1916.259399,4087.42334
1930.401489,4087.42334
1930.401489,4133.370605
1944.543701,4133.370605
1944.543701,4177.342285
1958.685791,4177.342285
1958.685791,4219.395508
1972.827881,4219.395508
1972.827881,4259.589844
1986.970093,4259.589844
1986.970093,4297.984375
2001.112183,4297.984375
2001.112183,4334.637695
2015.254272,4334.637695
2015.254272,4369.609375
2029.396484,4369.609375
2029.396484,4402.958496
2043.538574,4402.958496
2043.538574,4434.741699
2057.680664,4434.741699
2057.680664,4465.016602
2071.822754,4465.016602
2071.822754,4493.838379
2085.965088,4493.838379
2085.965088,4521.262207
2100.107178,4521.262207
2100.107178,4547.341309
2114.249268,4547.341309
2114.249268,4572.127441
2128.391357,4572.127441
2128.391357,4595.671875
2142.533447,4595.671875
2142.533447,4618.023438
2156.675781,4618.023438
2156.675781,4639.230957
2170.817871,4639.230957
2170.817871,4659.34082
2184.959961,4659.34082
2184.959961,4678.397949
2199.102051,4678.397949
2199.102051,4696.447266
2213.244141,4696.447266
2213.244141,4713.530762
2227.386475,4713.530762
2227.386475,4729.689941
2241.528564,4729.689941
2241.528564,4744.965332
2255.670654,4744.965332
2255.670654,4759.39502
2269.812744,4759.39502
2269.812744,4773.01709
2283.954834,4773.01709
2283.954834,4785.867676
2298.096924,4785.867676
2298.096924,4797.981445
2312.239258,4797.981445
2312.239258,4809.393066
2326.381348,4809.393066
2326.381348,4820.134277
2340.523438,4820.134277
2340.523438,4830.236816
2354.665527,4830.236816
2354.665527,4839.731445
2368.807617,4839.731445
2368.807617,4848.646973
2382.949951,4848.646973
2382.949951,4857.011719
2397.092041,4857.011719
2397.092041,4864.852539
2411.234131,4864.852539
2411.234131,4872.195313
2425.376221,4872.195313
2425.376221,4879.064453
2439.518311,4879.064453
2439.518311,4885.484863
2453.660645,4885.484863
2453.660645,4891.478516
2467.802734,4891.478516
2467.802734,4897.067383
2481.944824,4897.067383
2481.944824,4902.272461
2496.086914,4902.272461
2496.086914,4907.113281
2510.229004,4907.113281
2510.229004,4911.608398
2524.371094,4911.608398
2524.371094,4915.776367
2538.513428,4915.776367
2538.513428,4919.633789
2552.655518,4919.633789
2552.655518,4923.196289
2566.797607,4923.196289
2566.797607,4926.47998
2580.939697,4926.47998
2580.939697,4929.498047
2595.081787,4929.498047
2595.081787,4932.263672
2609.224121,4932.263672
2609.224121,4934.790527
2623.366211,4934.790527
2623.366211,4937.088867
2637.508301,4937.088867
2637.508301,4939.169434
2651.650391,4939.169434
2651.650391,4941.042969
2665.79248,4941.042969
2665.79248,4942.717773
2679.934814,4942.717773
2679.934814,4944.202148
2694.076904,4944.202148
2694.076904,4945.503418
2708.218994,4945.503418
2708.218994,4946.62793
2722.361084,4946.62793
2722.361084,4947.581055
2736.503174,4947.581055
2736.503174,4948.368164
2750.645264,4948.368164
2750.645264,4948.993164
2764.787598,4948.993164
2764.787598,4949.458984
2778.929688,4949.458984
2778.929688,4949.768066
2793.071777,4949.768066
2793.071777,4949.922363
2800.142822,4949.922363
