Distance,Pressure
ft,psi
0,4949.917969
7.07106781,4949.917969
7.07106781,4949.763672
21.21320343,4949.763672
21.21320343,4949.45459
35.35533905,4949.45459
35.35533905,4948.98877
49.49747467,4948.98877
49.49747467,4948.36377
63.63961029,4948.36377
63.63961029,4947.57666
77.78174591,4947.57666
77.78174591,4946.623535
91.92388153,4946.623535
91.92388153,4945.499023
106.0660172,4945.499023
106.0660172,4944.197754
120.2081528,4944.197754
120.2081528,4942.713379
134.350296,4942.713379
134.350296,4941.038574
148.4924316,4941.038574
148.4924316,4939.165527
162.6345673,4939.165527
162.6345673,4937.084473
176.7767029,4937.084473
176.7767029,4934.786133
190.9188385,4934.786133
190.9188385,4932.259766
205.0609741,4932.259766
205.0609741,4929.494141
219.2031097,4929.494141
219.2031097,4926.476074
233.3452454,4926.476074
233.3452454,4923.192871
247.487381,4923.192871
247.487381,4919.630371
261.6295166,4919.630371
261.6295166,4915.772949
275.771637,4915.772949
275.771637,4911.605469
289.9137878,4911.605469
289.9137878,4907.109863
304.0559082,4907.109863
304.0559082,4902.269531
318.1980591,4902.269531
318.1980591,4897.064453
332.3401794,4897.064453
332.3401794,4891.476074
346.4823303,4891.476074
346.4823303,4885.482422
360.6244507,4885.482422
360.6244507,4879.062012
374.7666016,4879.062012
374.7666016,4872.192871
388.9087219,4872.192871
388.9087219,4864.850098
403.0508728,4864.850098
403.0508728,4857.009766
417.1929932,4857.009766
417.1929932,4848.64502
431.335144,4848.64502
431.335144,4839.729492
445.4772644,4839.729492
445.4772644,4830.235352
459.6194153,4830.235352
459.6194153,4820.132324
473.7615356,4820.132324
473.7615356,4809.391113
487.9036865,4809.391113
487.9036865,4797.97998
502.0458069,4797.97998
502.0458069,4785.866211
516.1879272,4785.866211
516.1879272,4773.015625
530.3300781,4773.015625
530.3300781,4759.393555
544.472229,4759.393555
544.472229,4744.963867
558.6143799,4744.963867
558.6143799,4729.688965
572.7564697,4729.688965
572.7564697,4713.529297
586.8986206,4713.529297
586.8986206,4696.445801
601.0407715,4696.445801
601.0407715,4678.396973
615.1829224,4678.396973
615.1829224,4659.339355
