FILE:,CMG_Desorption5mdft.irf,,
Well:,Well-1,,
,,,
,,,Y1
,TIME,DATE,Gas Rate SC
,(day),,(ft3/day)
,1.00E-06,36526,2165575.25
,3.50E-06,36526,2156168.25
,1.10E-05,36526,2153778.5
,3.35E-05,36526,2148379.25
,0.000101,36526,2135715
,0.0003035,36526,2109855.25
,0.000911,36526,2065690.625
,0.0027335,36526,2002228.5
,0.00728975,36526,1928338.875
,0.018680375,36526,1843886.625
,0.047156937,36526,1748061.25
,0.118348345,36526,1640465.125
,0.296326846,36526,1521313.875
,0.71706605,36526,1395184.75
,1,36527,1336794.375
,1.893810153,36527,1236219.625
,4.113310814,36530,1107320.875
,7.812479019,36533,987857.5
,10,36536,932029.4375
,16.16527939,36542,839880.3125
,20,36546,791158.75
,31,36557,708487.125
,41,36567,649974.625
,51,36577,605410.25
,60,36586,572434.4375
,74,36600,534539.4375
,89.25325775,36615,500623.5
,91,36617,493564.9063
,105,36631,471015.5313
,121,36647,447416.5938
,146.4220886,36672,418566.2188
,152,36678,409364
,182,36708,385594.1563
,213,36739,363020
,244,36770,344050.3438
,274,36800,328390.2813
,305,36831,314645.875
,335,36861,302906.9063
,366,36892,292338.5625
,408.3701477,36934,280423.2813
,478.9870605,37004,264631.1875
,596.6819458,37122,244529.4063
,731,37257,225998.6563
,927.1580811,37453,206983.6563
,1096,37622,192986
,1422.930176,37948,176259.3281
,1461,37987,171471
,1827,38353,159915.0469
,2192,38718,149084.875
,2557,39083,140467.0156
,2922,39448,133531.4688
,3288,39814,127787.7188
,3653,40179,122944.3125
,4018,40544,118786.875
,4383,40909,115166.8984
,4749,41275,111972.1875
,5114,41640,109134.5391
,5479,42005,106590.375
,5844,42370,104291.4375
,6210,42736,102196.5547
,6575,43101,100283.1641
,6940,43466,98524.99219
,7305,43831,96901.28125
,7671,44197,95392.5
,8036,44562,93990.02344
,8401,44927,92680.625
,8766,45292,91453.70313
,9132,45658,90298.36719
,9497,46023,89211.22656
,9862,46388,88184.70313
,10227,46753,87212.70313
,10593,47119,86288.42188
,10958,47484,85410.72656
